metric_type,year,province_name,sector_name,model_used,forecast_value,lower_bound_95,upper_bound_95
Industry_Growth,2030,Zamboanga del Norte,Services,XGBoost,10.41,7.72,13.11
GDP,2026,Zamboanga del Norte,Tourism,XGBoost,2054.64,2019.56,2089.71
Industry_Growth,2026,Zamboanga del Norte,Tourism,XGBoost,17.78,16.33,19.23
GDP,2027,Zamboanga del Norte,Tourism,XGBoost,2114.56,2064.95,2164.17
Industry_Growth,2027,Zamboanga del Norte,Tourism,XGBoost,11.73,9.68,13.78
GDP,2028,Zamboanga del Norte,Tourism,XGBoost,2177.86,2117.1,2238.62
Industry_Growth,2028,Zamboanga del Norte,Tourism,XGBoost,5.94,3.43,8.46
GDP,2029,Zamboanga del Norte,Tourism,XGBoost,2244.73,2174.57,2314.89
Industry_Growth,2029,Zamboanga del Norte,Tourism,XGBoost,18.69,15.79,21.6
GDP,2030,Zamboanga del Norte,Tourism,XGBoost,2315.36,2236.92,2393.8
Industry_Growth,2030,Zamboanga del Norte,Tourism,XGBoost,12.73,9.48,15.98
GDP,2026,Zamboanga del Norte,ICT,XGBoost,3595.12,3551.32,3638.92
Industry_Growth,2026,Zamboanga del Norte,ICT,XGBoost,5.32,4.99,5.65
GDP,2027,Zamboanga del Norte,ICT,XGBoost,3726.96,3665.02,3788.91
Industry_Growth,2027,Zamboanga del Norte,ICT,XGBoost,5.34,4.87,5.81
GDP,2028,Zamboanga del Norte,ICT,XGBoost,3868.11,3792.24,3943.98
Industry_Growth,2028,Zamboanga del Norte,ICT,XGBoost,5.37,4.8,5.94
GDP,2029,Zamboanga del Norte,ICT,XGBoost,4019.22,3931.62,4106.83
Industry_Growth,2029,Zamboanga del Norte,ICT,XGBoost,5.39,4.73,6.05
GDP,2030,Zamboanga del Norte,ICT,XGBoost,4181.0,4083.06,4278.95
Industry_Growth,2030,Zamboanga del Norte,ICT,XGBoost,5.42,4.68,6.16
GDP,2026,Zamboanga del Norte,Services,XGBoost,4816.08,4747.14,4885.01
Industry_Growth,2026,Zamboanga del Norte,Services,XGBoost,5.84,5.49,6.19
GDP,2027,Zamboanga del Norte,Services,XGBoost,5068.36,4970.88,5165.85
Industry_Growth,2027,Zamboanga del Norte,Services,XGBoost,7.35,6.85,7.84
GDP,2028,Zamboanga del Norte,Services,XGBoost,5345.74,5226.34,5465.13
Industry_Growth,2028,Zamboanga del Norte,Services,XGBoost,7.37,6.76,7.98
GDP,2029,Zamboanga del Norte,Services,XGBoost,5650.68,5512.81,5788.55
Industry_Growth,2029,Zamboanga del Norte,Services,XGBoost,7.4,6.69,8.1
GDP,2030,Zamboanga del Norte,Services,XGBoost,5985.95,5831.81,6140.09
Industry_Growth,2030,Zamboanga del Norte,Services,XGBoost,7.42,6.64,8.21
GDP,2026,Zamboanga del Norte,Services,XGBoost,4585.52,4557.39,4613.66
Industry_Growth,2026,Zamboanga del Norte,Services,XGBoost,5.11,4.41,5.81
GDP,2027,Zamboanga del Norte,Services,XGBoost,4609.33,4569.54,4649.12
Industry_Growth,2027,Zamboanga del Norte,Services,XGBoost,5.39,4.4,6.37
GDP,2028,Zamboanga del Norte,Services,XGBoost,4633.37,4584.64,4682.1
Industry_Growth,2028,Zamboanga del Norte,Services,XGBoost,5.69,4.48,6.9
GDP,2029,Zamboanga del Norte,Services,XGBoost,4657.66,4601.39,4713.93
Industry_Growth,2029,Zamboanga del Norte,Services,XGBoost,6.02,4.62,7.42
GDP,2030,Zamboanga del Norte,Services,XGBoost,4682.19,4619.28,4745.1
Industry_Growth,2030,Zamboanga del Norte,Services,XGBoost,6.39,4.83,7.95
GDP,2026,Zamboanga del Norte,Services,XGBoost,909.96,896.5,923.43
Industry_Growth,2026,Zamboanga del Norte,Services,XGBoost,6.26,5.99,6.54
GDP,2027,Zamboanga del Norte,Services,XGBoost,932.89,913.84,951.93
Industry_Growth,2027,Zamboanga del Norte,Services,XGBoost,8.31,7.92,8.69
GDP,2028,Zamboanga del Norte,Services,XGBoost,956.94,933.61,980.26
Industry_Growth,2028,Zamboanga del Norte,Services,XGBoost,8.33,7.86,8.81
GDP,2029,Zamboanga del Norte,Services,XGBoost,982.16,955.23,1009.09
Industry_Growth,2029,Zamboanga del Norte,Services,XGBoost,5.65,5.1,6.2
GDP,2030,Zamboanga del Norte,Services,XGBoost,1008.62,978.51,1038.73
Industry_Growth,2030,Zamboanga del Norte,Services,XGBoost,6.36,5.75,6.98
GDP,2026,Zamboanga del Norte,Services,XGBoost,5557.24,5516.3,5598.18
Industry_Growth,2026,Zamboanga del Norte,Services,XGBoost,4.22,4.12,4.32
GDP,2027,Zamboanga del Norte,Services,XGBoost,5713.3,5655.4,5771.2
Industry_Growth,2027,Zamboanga del Norte,Services,XGBoost,5.22,5.08,5.37
GDP,2028,Zamboanga del Norte,Services,XGBoost,5877.87,5806.96,5948.78
Industry_Growth,2028,Zamboanga del Norte,Services,XGBoost,4.48,4.3,4.65
GDP,2029,Zamboanga del Norte,Services,XGBoost,6051.41,5969.53,6133.29
Industry_Growth,2029,Zamboanga del Norte,Services,XGBoost,5.5,5.3,5.7
GDP,2030,Zamboanga del Norte,Services,XGBoost,6234.41,6142.87,6325.95
Industry_Growth,2030,Zamboanga del Norte,Services,XGBoost,4.76,4.54,4.99
GDP,2026,Zamboanga del Norte,Services,XGBoost,10914.64,10745.37,11083.92
Industry_Growth,2026,Zamboanga del Norte,Services,XGBoost,5.07,4.12,6.02
GDP,2027,Zamboanga del Norte,Services,XGBoost,11299.34,11059.94,11538.73
Industry_Growth,2027,Zamboanga del Norte,Services,XGBoost,5.1,3.76,6.44
GDP,2028,Zamboanga del Norte,Services,XGBoost,11710.15,11416.95,12003.35
Industry_Growth,2028,Zamboanga del Norte,Services,XGBoost,5.12,3.48,6.76
GDP,2029,Zamboanga del Norte,Services,XGBoost,12148.86,11810.3,12487.41
Industry_Growth,2029,Zamboanga del Norte,Services,XGBoost,5.15,3.25,7.04
GDP,2030,Zamboanga del Norte,Services,XGBoost,12617.36,12238.84,12995.87
Industry_Growth,2030,Zamboanga del Norte,Services,XGBoost,5.17,3.06,7.29
GDP,2026,Zamboanga del Norte,Services,XGBoost,3195.23,3147.54,3242.93
Industry_Growth,2026,Zamboanga del Norte,Services,XGBoost,7.79,7.37,8.22
GDP,2027,Zamboanga del Norte,Services,XGBoost,3350.77,3283.32,3418.22
Industry_Growth,2027,Zamboanga del Norte,Services,XGBoost,7.4,6.8,8.0
GDP,2028,Zamboanga del Norte,Services,XGBoost,3520.73,3438.12,3603.34
Industry_Growth,2028,Zamboanga del Norte,Services,XGBoost,7.45,6.71,8.19
GDP,2029,Zamboanga del Norte,Services,XGBoost,3706.44,3611.05,3801.83
Industry_Growth,2029,Zamboanga del Norte,Services,XGBoost,7.51,6.65,8.36
GDP,2030,Zamboanga del Norte,Services,XGBoost,3909.36,3802.71,4016.01
Industry_Growth,2030,Zamboanga del Norte,Services,XGBoost,7.56,6.61,8.51
GDP,2026,Zamboanga del Norte,Services,XGBoost,777.47,763.03,791.91
Industry_Growth,2026,Zamboanga del Norte,Services,XGBoost,20.68,18.75,22.62
GDP,2027,Zamboanga del Norte,Services,XGBoost,792.03,771.61,812.46
Industry_Growth,2027,Zamboanga del Norte,Services,XGBoost,18.55,15.81,21.29
GDP,2028,Zamboanga del Norte,Services,XGBoost,807.13,782.11,832.14
Industry_Growth,2028,Zamboanga del Norte,Services,XGBoost,5.25,1.9,8.6
GDP,2029,Zamboanga del Norte,Services,XGBoost,822.77,793.89,851.66
Industry_Growth,2029,Zamboanga del Norte,Services,XGBoost,5.27,1.4,9.14
GDP,2030,Zamboanga del Norte,Services,XGBoost,838.99,806.69,871.28
Industry_Growth,2030,Zamboanga del Norte,Services,XGBoost,20.78,16.46,25.11
GDP,2026,Zamboanga del Sur,Agriculture,XGBoost,27155.13,26936.43,27373.83
Industry_Growth,2026,Zamboanga del Sur,Agriculture,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Agriculture,XGBoost,27710.85,27401.56,28020.14
Industry_Growth,2027,Zamboanga del Sur,Agriculture,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Agriculture,XGBoost,28288.8,27909.99,28667.61
Industry_Growth,2028,Zamboanga del Sur,Agriculture,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Agriculture,XGBoost,28889.87,28452.46,29327.27
Industry_Growth,2029,Zamboanga del Sur,Agriculture,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Agriculture,XGBoost,29514.98,29025.94,30004.01
Industry_Growth,2030,Zamboanga del Sur,Agriculture,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Industry,XGBoost,291.95,289.6,294.3
Industry_Growth,2026,Zamboanga del Sur,Industry,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Industry,XGBoost,297.92,294.6,301.25
Industry_Growth,2027,Zamboanga del Sur,Industry,XGBoost,4.04,4.03,4.04
GDP,2028,Zamboanga del Sur,Industry,XGBoost,304.13,300.06,308.21
Industry_Growth,2028,Zamboanga del Sur,Industry,XGBoost,4.06,4.05,4.06
GDP,2029,Zamboanga del Sur,Industry,XGBoost,310.6,305.89,315.3
Industry_Growth,2029,Zamboanga del Sur,Industry,XGBoost,4.08,4.07,4.08
GDP,2030,Zamboanga del Sur,Industry,XGBoost,317.32,312.06,322.58
Industry_Growth,2030,Zamboanga del Sur,Industry,XGBoost,4.1,4.09,4.1
GDP,2026,Zamboanga del Sur,Manufacturing,XGBoost,32872.87,32608.12,33137.63
Industry_Growth,2026,Zamboanga del Sur,Manufacturing,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Manufacturing,XGBoost,33545.61,33171.19,33920.03
Industry_Growth,2027,Zamboanga del Sur,Manufacturing,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Manufacturing,XGBoost,34245.25,33786.68,34703.82
Industry_Growth,2028,Zamboanga del Sur,Manufacturing,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Manufacturing,XGBoost,34972.88,34443.37,35502.39
Industry_Growth,2029,Zamboanga del Sur,Manufacturing,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Manufacturing,XGBoost,35729.61,35137.6,36321.62
Industry_Growth,2030,Zamboanga del Sur,Manufacturing,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Industry,XGBoost,1933.7,1918.12,1949.27
Industry_Growth,2026,Zamboanga del Sur,Industry,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Industry,XGBoost,1973.27,1951.24,1995.29
Industry_Growth,2027,Zamboanga del Sur,Industry,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Industry,XGBoost,2014.42,1987.45,2041.4
Industry_Growth,2028,Zamboanga del Sur,Industry,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Industry,XGBoost,2057.23,2026.08,2088.37
Industry_Growth,2029,Zamboanga del Sur,Industry,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Industry,XGBoost,2101.74,2066.91,2136.56
Industry_Growth,2030,Zamboanga del Sur,Industry,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Construction,XGBoost,29819.48,29579.32,30059.64
Industry_Growth,2026,Zamboanga del Sur,Construction,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Construction,XGBoost,30429.73,30090.09,30769.37
Industry_Growth,2027,Zamboanga del Sur,Construction,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Construction,XGBoost,31064.38,30648.41,31480.35
Industry_Growth,2028,Zamboanga del Sur,Construction,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Construction,XGBoost,31724.42,31244.09,32204.74
Industry_Growth,2029,Zamboanga del Sur,Construction,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Construction,XGBoost,32410.86,31873.84,32947.87
Industry_Growth,2030,Zamboanga del Sur,Construction,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Trade,XGBoost,36962.36,36664.67,37260.06
Industry_Growth,2026,Zamboanga del Sur,Trade,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Trade,XGBoost,37718.78,37297.78,38139.78
Industry_Growth,2027,Zamboanga del Sur,Trade,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Trade,XGBoost,38505.46,37989.84,39021.08
Industry_Growth,2028,Zamboanga del Sur,Trade,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Trade,XGBoost,39323.61,38728.22,39918.99
Industry_Growth,2029,Zamboanga del Sur,Trade,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Trade,XGBoost,40174.48,39508.82,40840.14
Industry_Growth,2030,Zamboanga del Sur,Trade,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Services,XGBoost,4809.34,4770.61,4848.07
Industry_Growth,2026,Zamboanga del Sur,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Services,XGBoost,4907.76,4852.99,4962.54
Industry_Growth,2027,Zamboanga del Sur,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Services,XGBoost,5010.12,4943.04,5077.21
Industry_Growth,2028,Zamboanga del Sur,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Services,XGBoost,5116.58,5039.11,5194.05
Industry_Growth,2029,Zamboanga del Sur,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Services,XGBoost,5227.29,5140.68,5313.9
Industry_Growth,2030,Zamboanga del Sur,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Tourism,XGBoost,2823.64,2800.9,2846.38
Industry_Growth,2026,Zamboanga del Sur,Tourism,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Tourism,XGBoost,2881.43,2849.27,2913.59
Industry_Growth,2027,Zamboanga del Sur,Tourism,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Tourism,XGBoost,2941.52,2902.13,2980.91
Industry_Growth,2028,Zamboanga del Sur,Tourism,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Tourism,XGBoost,3004.02,2958.54,3049.5
Industry_Growth,2029,Zamboanga del Sur,Tourism,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Tourism,XGBoost,3069.02,3018.17,3119.86
Industry_Growth,2030,Zamboanga del Sur,Tourism,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,ICT,XGBoost,4889.11,4849.73,4928.48
Industry_Growth,2026,Zamboanga del Sur,ICT,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,ICT,XGBoost,4989.16,4933.47,5044.85
Industry_Growth,2027,Zamboanga del Sur,ICT,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,ICT,XGBoost,5093.22,5025.01,5161.42
Industry_Growth,2028,Zamboanga del Sur,ICT,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,ICT,XGBoost,5201.44,5122.68,5280.2
Industry_Growth,2029,Zamboanga del Sur,ICT,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,ICT,XGBoost,5313.99,5225.94,5402.04
Industry_Growth,2030,Zamboanga del Sur,ICT,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Services,XGBoost,6468.32,6416.23,6520.42
Industry_Growth,2026,Zamboanga del Sur,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Services,XGBoost,6600.7,6527.02,6674.37
Industry_Growth,2027,Zamboanga del Sur,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Services,XGBoost,6738.36,6648.13,6828.59
Industry_Growth,2028,Zamboanga del Sur,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Services,XGBoost,6881.53,6777.35,6985.72
Industry_Growth,2029,Zamboanga del Sur,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Services,XGBoost,7030.43,6913.95,7146.92
Industry_Growth,2030,Zamboanga del Sur,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Services,XGBoost,6605.5,6552.3,6658.69
Industry_Growth,2026,Zamboanga del Sur,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Services,XGBoost,6740.67,6665.44,6815.91
Industry_Growth,2027,Zamboanga del Sur,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Services,XGBoost,6881.26,6789.11,6973.4
Industry_Growth,2028,Zamboanga del Sur,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Services,XGBoost,7027.47,6921.07,7133.86
Industry_Growth,2029,Zamboanga del Sur,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Services,XGBoost,7179.52,7060.57,7298.48
Industry_Growth,2030,Zamboanga del Sur,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Services,XGBoost,1252.27,1242.19,1262.36
Industry_Growth,2026,Zamboanga del Sur,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Services,XGBoost,1277.9,1263.64,1292.16
Industry_Growth,2027,Zamboanga del Sur,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Services,XGBoost,1304.55,1287.08,1322.02
Industry_Growth,2028,Zamboanga del Sur,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Services,XGBoost,1332.27,1312.1,1352.44
Industry_Growth,2029,Zamboanga del Sur,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Services,XGBoost,1361.1,1338.54,1383.65
Industry_Growth,2030,Zamboanga del Sur,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Services,XGBoost,7607.04,7545.78,7668.31
Industry_Growth,2026,Zamboanga del Sur,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Services,XGBoost,7762.71,7676.07,7849.36
Industry_Growth,2027,Zamboanga del Sur,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Services,XGBoost,7924.61,7818.5,8030.73
Industry_Growth,2028,Zamboanga del Sur,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Services,XGBoost,8092.99,7970.46,8215.52
Industry_Growth,2029,Zamboanga del Sur,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Services,XGBoost,8268.1,8131.1,8405.09
Industry_Growth,2030,Zamboanga del Sur,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Services,XGBoost,14866.89,14747.16,14986.63
Industry_Growth,2026,Zamboanga del Sur,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Services,XGBoost,15171.14,15001.81,15340.48
Industry_Growth,2027,Zamboanga del Sur,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Services,XGBoost,15487.56,15280.17,15694.95
Industry_Growth,2028,Zamboanga del Sur,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Services,XGBoost,15816.64,15577.17,16056.11
Industry_Growth,2029,Zamboanga del Sur,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Services,XGBoost,16158.88,15891.14,16426.62
Industry_Growth,2030,Zamboanga del Sur,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Services,XGBoost,4304.19,4269.53,4338.86
Industry_Growth,2026,Zamboanga del Sur,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Services,XGBoost,4392.27,4343.25,4441.3
Industry_Growth,2027,Zamboanga del Sur,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Services,XGBoost,4483.88,4423.84,4543.92
Industry_Growth,2028,Zamboanga del Sur,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Services,XGBoost,4579.15,4509.82,4648.48
Industry_Growth,2029,Zamboanga del Sur,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Services,XGBoost,4678.23,4600.71,4755.74
Industry_Growth,2030,Zamboanga del Sur,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga del Sur,Services,XGBoost,1079.81,1071.11,1088.51
Industry_Growth,2026,Zamboanga del Sur,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga del Sur,Services,XGBoost,1101.91,1089.61,1114.21
Industry_Growth,2027,Zamboanga del Sur,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga del Sur,Services,XGBoost,1124.89,1109.83,1139.96
Industry_Growth,2028,Zamboanga del Sur,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga del Sur,Services,XGBoost,1148.8,1131.4,1166.19
Industry_Growth,2029,Zamboanga del Sur,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga del Sur,Services,XGBoost,1173.66,1154.21,1193.1
Industry_Growth,2030,Zamboanga del Sur,Services,XGBoost,4.1,4.1,4.11
GDP,2026,Zamboanga Sibugay,Agriculture,XGBoost,17280.53,17141.35,17419.7
Industry_Growth,2026,Zamboanga Sibugay,Agriculture,XGBoost,4.02,4.02,4.02
