year,quarter,province_name,sector_name,gdp_value_m_php,growth_rate_pct
2019,1,Zamboanga del Norte,Industry,258.62,0.0
2019,2,Zamboanga del Norte,Industry,269.86,0.0
2019,3,Zamboanga del Norte,Industry,281.11,0.0
2019,4,Zamboanga del Norte,Industry,314.84,0.0
2020,1,Zamboanga del Norte,Industry,285.02,0.0
2020,2,Zamboanga del Norte,Industry,297.41,0.0
2020,3,Zamboanga del Norte,Industry,309.81,0.0
2020,4,Zamboanga del Norte,Industry,346.98,0.0
2021,1,Zamboanga del Norte,Industry,291.33,0.0
2021,2,Zamboanga del Norte,Industry,304.0,0.0
2021,3,Zamboanga del Norte,Industry,316.66,0.0
2021,4,Zamboanga del Norte,Industry,354.66,0.0
2022,1,Zamboanga del Norte,Industry,282.78,0.0
2022,2,Zamboanga del Norte,Industry,295.08,0.0
2022,3,Zamboanga del Norte,Industry,307.37,0.0
2022,4,Zamboanga del Norte,Industry,344.26,0.0
2023,1,Zamboanga del Norte,Industry,282.89,0.0
2023,2,Zamboanga del Norte,Industry,295.19,0.0
2023,3,Zamboanga del Norte,Industry,307.49,0.0
2023,4,Zamboanga del Norte,Industry,344.39,0.0
2024,1,Zamboanga del Norte,Industry,302.3,0.0
2024,2,Zamboanga del Norte,Industry,315.44,0.0
2024,3,Zamboanga del Norte,Industry,328.58,0.0
2024,4,Zamboanga del Norte,Industry,368.01,0.0
2018,1,Zamboanga del Norte,Construction,3479.72,0.0
2018,2,Zamboanga del Norte,Construction,3631.02,0.0
2018,3,Zamboanga del Norte,Construction,3782.31,0.0
2018,4,Zamboanga del Norte,Construction,4236.19,0.0
2019,1,Zamboanga del Norte,Construction,3294.68,0.0
2019,2,Zamboanga del Norte,Construction,3437.93,0.0
2019,3,Zamboanga del Norte,Construction,3581.18,0.0
2019,4,Zamboanga del Norte,Construction,4010.92,0.0
2020,1,Zamboanga del Norte,Construction,3352.4,0.0
2020,2,Zamboanga del Norte,Construction,3498.16,0.0
2020,3,Zamboanga del Norte,Construction,3643.91,0.0
2020,4,Zamboanga del Norte,Construction,4081.18,0.0
2021,1,Zamboanga del Norte,Construction,3262.78,0.0
2021,2,Zamboanga del Norte,Construction,3404.64,0.0
2021,3,Zamboanga del Norte,Construction,3546.5,0.0
2021,4,Zamboanga del Norte,Construction,3972.08,0.0
2022,1,Zamboanga del Norte,Construction,3961.46,0.0
2022,2,Zamboanga del Norte,Construction,4133.7,0.0
2022,3,Zamboanga del Norte,Construction,4305.94,0.0
2022,4,Zamboanga del Norte,Construction,4822.65,0.0
2023,1,Zamboanga del Norte,Construction,4544.25,0.0
2023,2,Zamboanga del Norte,Construction,4741.82,0.0
2023,3,Zamboanga del Norte,Construction,4939.4,0.0
2023,4,Zamboanga del Norte,Construction,5532.13,0.0
2024,1,Zamboanga del Norte,Construction,4661.69,0.0
2024,2,Zamboanga del Norte,Construction,4864.37,0.0
2024,3,Zamboanga del Norte,Construction,5067.05,0.0
2024,4,Zamboanga del Norte,Construction,5675.1,0.0
2018,1,Zamboanga del Norte,Trade,4740.98,0.0
2018,2,Zamboanga del Norte,Trade,4947.11,0.0
2018,3,Zamboanga del Norte,Trade,5153.24,0.0
2018,4,Zamboanga del Norte,Trade,5771.63,0.0
2019,1,Zamboanga del Norte,Trade,4983.79,0.0
2019,2,Zamboanga del Norte,Trade,5200.48,0.0
2019,3,Zamboanga del Norte,Trade,5417.16,0.0
2019,4,Zamboanga del Norte,Trade,6067.22,0.0
2020,1,Zamboanga del Norte,Trade,4899.1,0.0
2020,2,Zamboanga del Norte,Trade,5112.1,0.0
2020,3,Zamboanga del Norte,Trade,5325.11,0.0
2020,4,Zamboanga del Norte,Trade,5964.12,0.0
2021,1,Zamboanga del Norte,Trade,4963.69,0.0
2021,2,Zamboanga del Norte,Trade,5179.5,0.0
2021,3,Zamboanga del Norte,Trade,5395.31,0.0
2021,4,Zamboanga del Norte,Trade,6042.75,0.0
2022,1,Zamboanga del Norte,Trade,5215.89,0.0
2022,2,Zamboanga del Norte,Trade,5442.67,0.0
2022,3,Zamboanga del Norte,Trade,5669.45,0.0
2022,4,Zamboanga del Norte,Trade,6349.78,0.0
2023,1,Zamboanga del Norte,Trade,5548.78,0.0
2023,2,Zamboanga del Norte,Trade,5790.03,0.0
2023,3,Zamboanga del Norte,Trade,6031.28,0.0
2023,4,Zamboanga del Norte,Trade,6755.03,0.0
2024,1,Zamboanga del Norte,Trade,5778.33,0.0
2024,2,Zamboanga del Norte,Trade,6029.57,0.0
2024,3,Zamboanga del Norte,Trade,6280.8,0.0
2024,4,Zamboanga del Norte,Trade,7034.49,0.0
2018,1,Zamboanga del Norte,Services,764.45,0.0
2018,2,Zamboanga del Norte,Services,797.68,0.0
2018,3,Zamboanga del Norte,Services,830.92,0.0
2018,4,Zamboanga del Norte,Services,930.63,0.0
2019,1,Zamboanga del Norte,Services,853.76,0.0
2019,2,Zamboanga del Norte,Services,890.88,0.0
2019,3,Zamboanga del Norte,Services,928.0,0.0
2019,4,Zamboanga del Norte,Services,1039.37,0.0
2020,1,Zamboanga del Norte,Services,510.35,0.0
2020,2,Zamboanga del Norte,Services,532.54,0.0
2020,3,Zamboanga del Norte,Services,554.72,0.0
2020,4,Zamboanga del Norte,Services,621.29,0.0
2021,1,Zamboanga del Norte,Services,495.23,0.0
2021,2,Zamboanga del Norte,Services,516.76,0.0
2021,3,Zamboanga del Norte,Services,538.29,0.0
2021,4,Zamboanga del Norte,Services,602.89,0.0
2022,1,Zamboanga del Norte,Services,600.07,0.0
2022,2,Zamboanga del Norte,Services,626.16,0.0
2022,3,Zamboanga del Norte,Services,652.25,0.0
2022,4,Zamboanga del Norte,Services,730.53,0.0
2023,1,Zamboanga del Norte,Services,669.32,0.0
2023,2,Zamboanga del Norte,Services,698.42,0.0
2023,3,Zamboanga del Norte,Services,727.52,0.0
2023,4,Zamboanga del Norte,Services,814.82,0.0
2024,1,Zamboanga del Norte,Services,751.84,0.0
2024,2,Zamboanga del Norte,Services,784.53,0.0
2024,3,Zamboanga del Norte,Services,817.22,0.0
2024,4,Zamboanga del Norte,Services,915.29,0.0
2018,1,Zamboanga del Norte,Tourism,390.72,0.0
2018,2,Zamboanga del Norte,Tourism,407.71,0.0
2018,3,Zamboanga del Norte,Tourism,424.7,0.0
2018,4,Zamboanga del Norte,Tourism,475.67,0.0
2019,1,Zamboanga del Norte,Tourism,452.67,0.0
2019,2,Zamboanga del Norte,Tourism,472.35,0.0
2019,3,Zamboanga del Norte,Tourism,492.03,0.0
2019,4,Zamboanga del Norte,Tourism,551.08,0.0
2020,1,Zamboanga del Norte,Tourism,248.75,0.0
2020,2,Zamboanga del Norte,Tourism,259.56,0.0
2020,3,Zamboanga del Norte,Tourism,270.38,0.0
2020,4,Zamboanga del Norte,Tourism,302.82,0.0
2021,1,Zamboanga del Norte,Tourism,253.46,0.0
2021,2,Zamboanga del Norte,Tourism,264.48,0.0
2021,3,Zamboanga del Norte,Tourism,275.5,0.0
2021,4,Zamboanga del Norte,Tourism,308.56,0.0
2022,1,Zamboanga del Norte,Tourism,333.11,0.0
2022,2,Zamboanga del Norte,Tourism,347.59,0.0
2022,3,Zamboanga del Norte,Tourism,362.08,0.0
2022,4,Zamboanga del Norte,Tourism,405.52,0.0
2023,1,Zamboanga del Norte,Tourism,392.13,0.0
2023,2,Zamboanga del Norte,Tourism,409.18,0.0
2023,3,Zamboanga del Norte,Tourism,426.23,0.0
2023,4,Zamboanga del Norte,Tourism,477.37,0.0
2024,1,Zamboanga del Norte,Tourism,441.42,0.0
2024,2,Zamboanga del Norte,Tourism,460.62,0.0
2024,3,Zamboanga del Norte,Tourism,479.81,0.0
2024,4,Zamboanga del Norte,Tourism,537.38,0.0
2018,1,Zamboanga del Norte,ICT,498.83,0.0
2018,2,Zamboanga del Norte,ICT,520.52,0.0
2018,3,Zamboanga del Norte,ICT,542.21,0.0
2018,4,Zamboanga del Norte,ICT,607.27,0.0
2019,1,Zamboanga del Norte,ICT,552.66,0.0
2019,2,Zamboanga del Norte,ICT,576.69,0.0
2019,3,Zamboanga del Norte,ICT,600.72,0.0
2019,4,Zamboanga del Norte,ICT,672.81,0.0
2020,1,Zamboanga del Norte,ICT,582.76,0.0
2020,2,Zamboanga del Norte,ICT,608.09,0.0
2020,3,Zamboanga del Norte,ICT,633.43,0.0
2020,4,Zamboanga del Norte,ICT,709.44,0.0
2021,1,Zamboanga del Norte,ICT,631.15,0.0
2021,2,Zamboanga del Norte,ICT,658.59,0.0
2021,3,Zamboanga del Norte,ICT,686.03,0.0
2021,4,Zamboanga del Norte,ICT,768.35,0.0
2022,1,Zamboanga del Norte,ICT,696.55,0.0
2022,2,Zamboanga del Norte,ICT,726.84,0.0
2022,3,Zamboanga del Norte,ICT,757.12,0.0
2022,4,Zamboanga del Norte,ICT,847.98,0.0
2023,1,Zamboanga del Norte,ICT,724.0,0.0
2023,2,Zamboanga del Norte,ICT,755.47,0.0
2023,3,Zamboanga del Norte,ICT,786.95,0.0
2023,4,Zamboanga del Norte,ICT,881.39,0.0
2024,1,Zamboanga del Norte,ICT,764.31,0.0
2024,2,Zamboanga del Norte,ICT,797.54,0.0
2024,3,Zamboanga del Norte,ICT,830.78,0.0
2024,4,Zamboanga del Norte,ICT,930.47,0.0
2018,1,Zamboanga del Norte,Services,549.3,0.0
2018,2,Zamboanga del Norte,Services,573.18,0.0
2018,3,Zamboanga del Norte,Services,597.06,0.0
2018,4,Zamboanga del Norte,Services,668.71,0.0
2019,1,Zamboanga del Norte,Services,649.74,0.0
2019,2,Zamboanga del Norte,Services,677.99,0.0
2019,3,Zamboanga del Norte,Services,706.24,0.0
2019,4,Zamboanga del Norte,Services,790.98,0.0
2020,1,Zamboanga del Norte,Services,702.8,0.0
2020,2,Zamboanga del Norte,Services,733.35,0.0
2020,3,Zamboanga del Norte,Services,763.91,0.0
2020,4,Zamboanga del Norte,Services,855.58,0.0
2021,1,Zamboanga del Norte,Services,753.25,0.0
2021,2,Zamboanga del Norte,Services,786.0,0.0
2021,3,Zamboanga del Norte,Services,818.75,0.0
2021,4,Zamboanga del Norte,Services,917.0,0.0
2022,1,Zamboanga del Norte,Services,842.55,0.0
2022,2,Zamboanga del Norte,Services,879.19,0.0
2022,3,Zamboanga del Norte,Services,915.82,0.0
2022,4,Zamboanga del Norte,Services,1025.72,0.0
2023,1,Zamboanga del Norte,Services,917.73,0.0
2023,2,Zamboanga del Norte,Services,957.63,0.0
2023,3,Zamboanga del Norte,Services,997.53,0.0
2023,4,Zamboanga del Norte,Services,1117.24,0.0
2024,1,Zamboanga del Norte,Services,1011.2,0.0
2024,2,Zamboanga del Norte,Services,1055.16,0.0
2024,3,Zamboanga del Norte,Services,1099.13,0.0
2024,4,Zamboanga del Norte,Services,1231.02,0.0
2018,1,Zamboanga del Norte,Services,1028.49,0.0
2018,2,Zamboanga del Norte,Services,1073.21,0.0
2018,3,Zamboanga del Norte,Services,1117.92,0.0
2018,4,Zamboanga del Norte,Services,1252.07,0.0
2019,1,Zamboanga del Norte,Services,1059.07,0.0
2019,2,Zamboanga del Norte,Services,1105.12,0.0
2019,3,Zamboanga del Norte,Services,1151.17,0.0
2019,4,Zamboanga del Norte,Services,1289.31,0.0
2020,1,Zamboanga del Norte,Services,1032.14,0.0
2020,2,Zamboanga del Norte,Services,1077.02,0.0
2020,3,Zamboanga del Norte,Services,1121.89,0.0
2020,4,Zamboanga del Norte,Services,1256.52,0.0
2021,1,Zamboanga del Norte,Services,941.62,0.0
2021,2,Zamboanga del Norte,Services,982.56,0.0
2021,3,Zamboanga del Norte,Services,1023.5,0.0
2021,4,Zamboanga del Norte,Services,1146.32,0.0
2022,1,Zamboanga del Norte,Services,955.79,0.0
2022,2,Zamboanga del Norte,Services,997.35,0.0
2022,3,Zamboanga del Norte,Services,1038.91,0.0
2022,4,Zamboanga del Norte,Services,1163.57,0.0
2023,1,Zamboanga del Norte,Services,989.39,0.0
2023,2,Zamboanga del Norte,Services,1032.41,0.0
2023,3,Zamboanga del Norte,Services,1075.42,0.0
2023,4,Zamboanga del Norte,Services,1204.47,0.0
2024,1,Zamboanga del Norte,Services,1032.64,0.0
2024,2,Zamboanga del Norte,Services,1077.54,0.0
2024,3,Zamboanga del Norte,Services,1122.43,0.0
2024,4,Zamboanga del Norte,Services,1257.13,0.0
2018,1,Zamboanga del Norte,Services,150.26,0.0
2018,2,Zamboanga del Norte,Services,156.79,0.0
2018,3,Zamboanga del Norte,Services,163.32,0.0
2018,4,Zamboanga del Norte,Services,182.92,0.0
2019,1,Zamboanga del Norte,Services,157.76,0.0
2019,2,Zamboanga del Norte,Services,164.62,0.0
2019,3,Zamboanga del Norte,Services,171.48,0.0
2019,4,Zamboanga del Norte,Services,192.06,0.0
2020,1,Zamboanga del Norte,Services,137.19,0.0
2020,2,Zamboanga del Norte,Services,143.15,0.0
2020,3,Zamboanga del Norte,Services,149.12,0.0
2020,4,Zamboanga del Norte,Services,167.01,0.0
2021,1,Zamboanga del Norte,Services,153.15,0.0
2021,2,Zamboanga del Norte,Services,159.81,0.0
2021,3,Zamboanga del Norte,Services,166.47,0.0
2021,4,Zamboanga del Norte,Services,186.45,0.0
2022,1,Zamboanga del Norte,Services,163.35,0.0
2022,2,Zamboanga del Norte,Services,170.45,0.0
2022,3,Zamboanga del Norte,Services,177.55,0.0
2022,4,Zamboanga del Norte,Services,198.86,0.0
2023,1,Zamboanga del Norte,Services,175.44,0.0
2023,2,Zamboanga del Norte,Services,183.06,0.0
2023,3,Zamboanga del Norte,Services,190.69,0.0
2023,4,Zamboanga del Norte,Services,213.57,0.0
2024,1,Zamboanga del Norte,Services,195.77,0.0
2024,2,Zamboanga del Norte,Services,204.28,0.0
2024,3,Zamboanga del Norte,Services,212.79,0.0
2024,4,Zamboanga del Norte,Services,238.33,0.0
2018,1,Zamboanga del Norte,Services,863.82,0.0
2018,2,Zamboanga del Norte,Services,901.38,0.0
2018,3,Zamboanga del Norte,Services,938.94,0.0
2018,4,Zamboanga del Norte,Services,1051.61,0.0
2019,1,Zamboanga del Norte,Services,964.19,0.0
2019,2,Zamboanga del Norte,Services,1006.12,0.0
2019,3,Zamboanga del Norte,Services,1048.04,0.0
2019,4,Zamboanga del Norte,Services,1173.8,0.0
2020,1,Zamboanga del Norte,Services,1045.8,0.0
2020,2,Zamboanga del Norte,Services,1091.27,0.0
2020,3,Zamboanga del Norte,Services,1136.74,0.0
2020,4,Zamboanga del Norte,Services,1273.14,0.0
2021,1,Zamboanga del Norte,Services,1072.75,0.0
2021,2,Zamboanga del Norte,Services,1119.39,0.0
2021,3,Zamboanga del Norte,Services,1166.04,0.0
2021,4,Zamboanga del Norte,Services,1305.96,0.0
2022,1,Zamboanga del Norte,Services,1097.87,0.0
2022,2,Zamboanga del Norte,Services,1145.61,0.0
2022,3,Zamboanga del Norte,Services,1193.34,0.0
2022,4,Zamboanga del Norte,Services,1336.54,0.0
2023,1,Zamboanga del Norte,Services,1152.75,0.0
2023,2,Zamboanga del Norte,Services,1202.87,0.0
2023,3,Zamboanga del Norte,Services,1252.98,0.0
2023,4,Zamboanga del Norte,Services,1403.34,0.0
2024,1,Zamboanga del Norte,Services,1189.21,0.0
2024,2,Zamboanga del Norte,Services,1240.92,0.0
2024,3,Zamboanga del Norte,Services,1292.62,0.0
2024,4,Zamboanga del Norte,Services,1447.74,0.0
2018,1,Zamboanga del Norte,Services,1560.42,0.0
2018,2,Zamboanga del Norte,Services,1628.27,0.0
2018,3,Zamboanga del Norte,Services,1696.11,0.0
2018,4,Zamboanga del Norte,Services,1899.65,0.0
2019,1,Zamboanga del Norte,Services,1617.28,0.0
2019,2,Zamboanga del Norte,Services,1687.6,0.0
2019,3,Zamboanga del Norte,Services,1757.91,0.0
2019,4,Zamboanga del Norte,Services,1968.86,0.0
2020,1,Zamboanga del Norte,Services,1605.77,0.0
2020,2,Zamboanga del Norte,Services,1675.59,0.0
2020,3,Zamboanga del Norte,Services,1745.4,0.0
2020,4,Zamboanga del Norte,Services,1954.85,0.0
2021,1,Zamboanga del Norte,Services,1950.34,0.0
2021,2,Zamboanga del Norte,Services,2035.13,0.0
2021,3,Zamboanga del Norte,Services,2119.93,0.0
2021,4,Zamboanga del Norte,Services,2374.32,0.0
2022,1,Zamboanga del Norte,Services,2124.93,0.0
2022,2,Zamboanga del Norte,Services,2217.32,0.0
2022,3,Zamboanga del Norte,Services,2309.71,0.0
2022,4,Zamboanga del Norte,Services,2586.87,0.0
2023,1,Zamboanga del Norte,Services,2256.97,0.0
2023,2,Zamboanga del Norte,Services,2355.1,0.0
2023,3,Zamboanga del Norte,Services,2453.22,0.0
2023,4,Zamboanga del Norte,Services,2747.61,0.0
2024,1,Zamboanga del Norte,Services,2324.14,0.0
2024,2,Zamboanga del Norte,Services,2425.19,0.0
2024,3,Zamboanga del Norte,Services,2526.24,0.0
2024,4,Zamboanga del Norte,Services,2829.39,0.0
2018,1,Zamboanga del Norte,Services,380.88,0.0
2018,2,Zamboanga del Norte,Services,397.44,0.0
2018,3,Zamboanga del Norte,Services,414.0,0.0
2018,4,Zamboanga del Norte,Services,463.67,0.0
2019,1,Zamboanga del Norte,Services,412.07,0.0
2019,2,Zamboanga del Norte,Services,429.99,0.0
2019,3,Zamboanga del Norte,Services,447.9,0.0
2019,4,Zamboanga del Norte,Services,501.65,0.0
2020,1,Zamboanga del Norte,Services,466.24,0.0
2020,2,Zamboanga del Norte,Services,486.51,0.0
2020,3,Zamboanga del Norte,Services,506.79,0.0
2020,4,Zamboanga del Norte,Services,567.6,0.0
2021,1,Zamboanga del Norte,Services,528.32,0.0
2021,2,Zamboanga del Norte,Services,551.29,0.0
2021,3,Zamboanga del Norte,Services,574.26,0.0
2021,4,Zamboanga del Norte,Services,643.18,0.0
2022,1,Zamboanga del Norte,Services,570.66,0.0
2022,2,Zamboanga del Norte,Services,595.47,0.0
2022,3,Zamboanga del Norte,Services,620.29,0.0
2022,4,Zamboanga del Norte,Services,694.72,0.0
2023,1,Zamboanga del Norte,Services,608.34,0.0
2023,2,Zamboanga del Norte,Services,634.79,0.0
2023,3,Zamboanga del Norte,Services,661.24,0.0
2023,4,Zamboanga del Norte,Services,740.59,0.0
2024,1,Zamboanga del Norte,Services,672.88,0.0
2024,2,Zamboanga del Norte,Services,702.13,0.0
2024,3,Zamboanga del Norte,Services,731.39,0.0
2024,4,Zamboanga del Norte,Services,819.16,0.0
2018,1,Zamboanga del Norte,Services,263.83,0.0
2018,2,Zamboanga del Norte,Services,275.3,0.0
2018,3,Zamboanga del Norte,Services,286.77,0.0
2018,4,Zamboanga del Norte,Services,321.18,0.0
2019,1,Zamboanga del Norte,Services,303.64,0.0
2019,2,Zamboanga del Norte,Services,316.84,0.0
2019,3,Zamboanga del Norte,Services,330.04,0.0
2019,4,Zamboanga del Norte,Services,369.64,0.0
2020,1,Zamboanga del Norte,Services,86.89,0.0
2020,2,Zamboanga del Norte,Services,90.66,0.0
2020,3,Zamboanga del Norte,Services,94.44,0.0
2020,4,Zamboanga del Norte,Services,105.77,0.0
2021,1,Zamboanga del Norte,Services,85.77,0.0
2021,2,Zamboanga del Norte,Services,89.5,0.0
2021,3,Zamboanga del Norte,Services,93.22,0.0
2021,4,Zamboanga del Norte,Services,104.41,0.0
2022,1,Zamboanga del Norte,Services,118.29,0.0
2022,2,Zamboanga del Norte,Services,123.43,0.0
2022,3,Zamboanga del Norte,Services,128.58,0.0
2022,4,Zamboanga del Norte,Services,144.0,0.0
2023,1,Zamboanga del Norte,Services,156.65,0.0
2023,2,Zamboanga del Norte,Services,163.46,0.0
2023,3,Zamboanga del Norte,Services,170.27,0.0
2023,4,Zamboanga del Norte,Services,190.7,0.0
2024,1,Zamboanga del Norte,Services,168.81,0.0
2024,2,Zamboanga del Norte,Services,176.15,0.0
2024,3,Zamboanga del Norte,Services,183.49,0.0
2024,4,Zamboanga del Norte,Services,205.5,0.0
2025,1,Zamboanga del Norte,Agriculture,4457.42,5.0
2025,2,Zamboanga del Norte,Agriculture,4651.22,5.0
2025,3,Zamboanga del Norte,Agriculture,4845.03,5.0
2025,4,Zamboanga del Norte,Agriculture,5426.43,5.0
2025,1,Zamboanga del Norte,Industry,47.92,5.0
2025,2,Zamboanga del Norte,Industry,50.0,5.0
2025,3,Zamboanga del Norte,Industry,52.09,5.0
2025,4,Zamboanga del Norte,Industry,58.34,5.0
2025,1,Zamboanga del Norte,Manufacturing,5395.97,5.0
2025,2,Zamboanga del Norte,Manufacturing,5630.58,5.0
2025,3,Zamboanga del Norte,Manufacturing,5865.19,5.0
2025,4,Zamboanga del Norte,Manufacturing,6569.01,5.0
2025,1,Zamboanga del Norte,Industry,317.41,5.0
2025,2,Zamboanga del Norte,Industry,331.21,5.0
2025,3,Zamboanga del Norte,Industry,345.01,5.0
2025,4,Zamboanga del Norte,Industry,386.41,5.0
2025,1,Zamboanga del Norte,Construction,4894.77,5.0
2025,2,Zamboanga del Norte,Construction,5107.59,5.0
2025,3,Zamboanga del Norte,Construction,5320.4,5.0
2025,4,Zamboanga del Norte,Construction,5958.85,5.0
2025,1,Zamboanga del Norte,Trade,6067.25,5.0
2025,2,Zamboanga del Norte,Trade,6331.04,5.0
2025,3,Zamboanga del Norte,Trade,6594.84,5.0
2025,4,Zamboanga del Norte,Trade,7386.22,5.0
2025,1,Zamboanga del Norte,Services,789.44,5.0
2025,2,Zamboanga del Norte,Services,823.76,5.0
2025,3,Zamboanga del Norte,Services,858.08,5.0
2025,4,Zamboanga del Norte,Services,961.05,5.0
2025,1,Zamboanga del Norte,Tourism,463.49,5.0
2025,2,Zamboanga del Norte,Tourism,483.65,5.0
2025,3,Zamboanga del Norte,Tourism,503.8,5.0
2025,4,Zamboanga del Norte,Tourism,564.25,5.0
2025,1,Zamboanga del Norte,ICT,802.53,5.0
2025,2,Zamboanga del Norte,ICT,837.42,5.0
2025,3,Zamboanga del Norte,ICT,872.31,5.0
2025,4,Zamboanga del Norte,ICT,976.99,5.0
2025,1,Zamboanga del Norte,Services,1061.76,5.0
2025,2,Zamboanga del Norte,Services,1107.92,5.0
2025,3,Zamboanga del Norte,Services,1154.08,5.0
2025,4,Zamboanga del Norte,Services,1292.57,5.0
2025,1,Zamboanga del Norte,Services,1084.27,5.0
2025,2,Zamboanga del Norte,Services,1131.41,5.0
2025,3,Zamboanga del Norte,Services,1178.56,5.0
